iter	MultiClass
0	1.049686705
1	1.009404028
2	0.9750669248
3	0.9472092823
4	0.922051203
5	0.8999902682
6	0.8802849913
7	0.8681672999
8	0.848739905
9	0.833533938
10	0.8187884196
11	0.8068035404
12	0.7966062599
13	0.7874334132
14	0.7797272632
15	0.771986832
16	0.7634527449
17	0.7564869254
18	0.7512553745
19	0.7431617425
20	0.7373993882
21	0.7316051927
22	0.7274935686
23	0.7214279304
24	0.7193463042
25	0.7148165017
26	0.7122665257
27	0.7081639316
28	0.7041981213
29	0.7003742479
30	0.6965783509
31	0.6942495612
32	0.6912219823
33	0.6882178026
34	0.6865530206
35	0.6858498182
36	0.6843569601
37	0.6819829455
38	0.6795976894
39	0.677510405
40	0.6757813756
41	0.6750704907
42	0.6746617793
43	0.6737504261
44	0.6731932208
45	0.6711156449
46	0.6699436268
47	0.6688833313
48	0.6686513834
49	0.6670471372
50	0.6658821737
51	0.6651416231
52	0.6638950078
53	0.6628053217
54	0.6615829803
55	0.6607603607
56	0.6602632347
57	0.6600370669
58	0.6589336427
59	0.6581213325
60	0.6575994647
61	0.6564899554
62	0.6557799832
63	0.6557159922
64	0.6549911538
65	0.6546231336
66	0.6538761032
67	0.6535443202
68	0.6531659787
69	0.6524532376
70	0.6514361286
71	0.6510527001
72	0.6501079058
73	0.6494335229
74	0.6490285455
75	0.6481817893
76	0.6476723051
77	0.6469816273
78	0.6465124573
79	0.6459555284
80	0.6453161068
81	0.6447223094
82	0.6443141467
83	0.6442469648
84	0.643844424
85	0.6434634438
86	0.6434465169
87	0.6430680127
88	0.6424565257
89	0.6420558207
90	0.6416532705
91	0.6413208276
92	0.6407847501
93	0.640340563
94	0.6400484382
95	0.639632685
96	0.6392366376
97	0.6389830514
98	0.638615361
99	0.6382582185
100	0.6381517536
101	0.6378163392
102	0.6375138695
103	0.6372080122
104	0.6369179794
105	0.6365452804
106	0.6362569147
107	0.6360380746
108	0.6357658049
109	0.6355046
110	0.6352454185
111	0.6349299539
112	0.6346949862
113	0.6344690069
114	0.6342650207
115	0.6340375338
116	0.6338412869
117	0.6336082929
118	0.633466466
119	0.6332810662
120	0.6330805719
121	0.6328929692
122	0.6327119502
123	0.6325852344
124	0.6324644055
125	0.6323024785
126	0.6321009377
127	0.6319888718
128	0.6318097129
129	0.6316508889
130	0.6315034164
131	0.6313349598
132	0.6311856423
133	0.6310342767
134	0.6308375958
135	0.6306686461
136	0.6305430894
137	0.630422871
138	0.6303348089
139	0.630249307
140	0.630105929
141	0.6299238189
142	0.6297890409
143	0.6297091377
144	0.6295375056
145	0.6294185273
146	0.6292942916
147	0.6291804342
148	0.629065138
149	0.6289103344
150	0.6287604836
151	0.6286451441
152	0.62853729
153	0.6284327561
154	0.6283431547
155	0.6282666501
156	0.6281733158
157	0.6280753491
158	0.6279793804
159	0.627892653
160	0.6278018951
161	0.6277117433
162	0.6276519436
163	0.6275678884
164	0.6275057894
165	0.6274495642
166	0.6273670076
167	0.6272450691
168	0.6271901676
169	0.6270878559
170	0.6270081161
171	0.6269376586
172	0.6268639539
173	0.626788247
174	0.6267195756
175	0.6266674807
176	0.6266174177
177	0.6265465587
178	0.6264991735
179	0.6264251455
180	0.6263626328
181	0.626302006
182	0.6261971876
183	0.6261542967
184	0.6260960726
185	0.6259954315
186	0.6259312333
187	0.6258662837
188	0.6258040062
189	0.6257643737
190	0.6256674387
191	0.625629187
192	0.6255857702
193	0.6255438451
194	0.6254909993
195	0.6254503741
196	0.6253825532
197	0.6253434231
198	0.6252537907
199	0.6251693709
200	0.6251336634
201	0.6250485671
202	0.6250018377
203	0.6249681936
204	0.624916907
205	0.6248841594
206	0.6248406577
207	0.6248062616
208	0.6247577396
209	0.6247166549
210	0.624668364
211	0.6246163607
212	0.6245696367
213	0.6244919365
214	0.6244603146
215	0.6243929426
216	0.6243489549
217	0.6243049377
218	0.6242763312
219	0.6242465834
220	0.6242017628
221	0.6241378022
222	0.6241104322
223	0.6240824628
224	0.6240552799
225	0.6240288349
226	0.6240030835
227	0.6239759377
228	0.6239367226
229	0.6238765364
230	0.6238279428
231	0.6237843037
232	0.623758999
233	0.6237043535
234	0.6236650863
235	0.6236409158
236	0.623604711
237	0.6235808561
238	0.6235569119
239	0.6235199016
240	0.6234969926
241	0.6234610045
242	0.6234257565
243	0.6233882703
244	0.6233663021
245	0.6233052858
246	0.6232729612
247	0.6232518439
248	0.6232143951
249	0.6231937448
250	0.6231736097
251	0.6231426807
252	0.6231123983
253	0.6230909476
254	0.6230607825
255	0.6230224672
256	0.6229929954
257	0.6229523965
258	0.6229235832
259	0.6229046581
260	0.6228786708
261	0.6228603853
262	0.6228273222
263	0.6227979472
264	0.6227594876
265	0.6227416621
266	0.6227147367
267	0.6226832265
268	0.6226590426
269	0.6226329473
270	0.6226159272
271	0.6225682969
272	0.622551898
273	0.6225214743
274	0.6224703124
275	0.6224397456
276	0.6224094505
277	0.622383011
278	0.6223344859
279	0.6223170432
280	0.6222932233
281	0.6222773816
282	0.6222609005
283	0.6222454883
284	0.6222224895
285	0.6221759914
286	0.6221307087
287	0.622108691
288	0.6220939113
289	0.622070534
290	0.6220258638
291	0.6219990075
292	0.6219564226
293	0.6219242249
294	0.6218986694
295	0.6218594005
296	0.6218189161
297	0.6217943256
298	0.6217549082
299	0.621740612
300	0.6217267133
301	0.6217075842
302	0.621687932
303	0.6216746631
304	0.6216554484
305	0.6216365438
306	0.621617936
307	0.6216035193
308	0.6215895652
309	0.62156012
310	0.6215360646
311	0.6215132271
312	0.6214909715
313	0.621454109
314	0.6214362507
315	0.6214236018
316	0.621389041
317	0.6213616904
318	0.62134434
319	0.6213272666
320	0.6213142849
321	0.6212890862
322	0.6212704009
323	0.6212586335
324	0.621247157
325	0.6212142857
326	0.6211822199
327	0.6211712124
328	0.6211498385
329	0.6211319092
330	0.6211211959
331	0.6211089135
332	0.6210984536
333	0.6210810855
334	0.6210640042
335	0.6210330432
336	0.6210230212
337	0.6210112408
338	0.6209995819
339	0.6209897836
340	0.6209746933
341	0.6209446273
342	0.6209201423
343	0.6208860149
344	0.6208625985
345	0.6208513645
346	0.6208301762
347	0.6208142891
348	0.6208048523
349	0.6207745527
350	0.6207637634
351	0.6207373895
352	0.6207281179
353	0.6207174304
354	0.6207083756
355	0.6206995105
356	0.6206856634
357	0.6206770252
358	0.6206685528
359	0.6206501118
360	0.6206321757
361	0.6206237392
362	0.6205967714
363	0.6205866061
364	0.620562777
365	0.6205494968
366	0.6205319657
367	0.6205222514
368	0.6204942309
369	0.6204684966
370	0.6204602657
371	0.6204351768
372	0.6204212373
373	0.6204132879
374	0.6204055021
375	0.6203960946
376	0.620379733
377	0.6203673594
378	0.6203597152
379	0.6203334032
380	0.6203202196
381	0.6203083471
382	0.6203009009
383	0.6202892427
384	0.6202690624
385	0.6202576092
386	0.6202418488
387	0.6202156813
388	0.6202070428
389	0.6201986038
390	0.6201835015
391	0.6201686474
392	0.6201612672
393	0.6201343871
394	0.6201233184
395	0.6201162165
396	0.6201053549
397	0.6200984409
398	0.6200747222
399	0.6200667221
400	0.6200525108
401	0.6200268544
402	0.6200040968
403	0.619990081
404	0.6199832128
405	0.6199717799
406	0.6199613013
407	0.6199537547
408	0.6199435953
409	0.6199335833
410	0.619926244
411	0.6199163316
412	0.6199055142
413	0.6198919193
414	0.6198786548
415	0.6198689487
416	0.6198624591
417	0.6198495995
418	0.6198401087
419	0.6198272771
420	0.6198178044
421	0.6197963899
422	0.619790023
423	0.6197774697
424	0.6197565429
425	0.6197313439
426	0.6197115529
427	0.61970536
428	0.6196853068
429	0.6196753007
430	0.6196562348
431	0.6196473552
432	0.6196375502
433	0.6196288672
434	0.6196229861
435	0.6196156385
436	0.6196099182
437	0.6195913343
438	0.6195857677
439	0.6195803148
440	0.6195749674
441	0.6195568523
442	0.619544877
443	0.6195332261
444	0.6195279178
445	0.6195068524
446	0.6194984936
447	0.619487218
448	0.6194759914
449	0.619467774
450	0.6194625613
451	0.6194574545
452	0.6194421807
453	0.6194220508
454	0.6194170434
455	0.619410796
456	0.6194027931
457	0.619396008
458	0.6193911325
459	0.6193833039
460	0.6193773003
461	0.619369601
462	0.6193601101
463	0.6193424251
464	0.6193376338
465	0.6193248678
466	0.6193114886
467	0.6193012014
468	0.6192892202
469	0.6192790795
470	0.6192714958
471	0.619266718
472	0.6192620386
473	0.6192520614
474	0.6192446352
475	0.6192321464
476	0.6192246556
477	0.6192062306
478	0.6192016854
479	0.6191905785
480	0.6191833067
481	0.6191788297
482	0.619169308
483	0.6191648813
484	0.6191530047
485	0.6191486622
486	0.6191427056
487	0.6191356043
488	0.6191313643
489	0.6191271973
490	0.6191176387
491	0.6191051952
492	0.6190982521
493	0.6190829708
494	0.6190788359
495	0.6190677082
496	0.6190636135
497	0.6190580005
498	0.6190512525
499	0.619036445
500	0.6190273632
501	0.6190206696
502	0.6190131858
503	0.6190091972
504	0.6190052798
505	0.6189979354
506	0.6189940973
507	0.6189832754
508	0.6189768045
509	0.6189704252
510	0.6189560908
511	0.6189420706
512	0.6189368038
513	0.6189305373
514	0.6189243323
515	0.6189129588
516	0.6189092091
517	0.6189030947
518	0.618889372
519	0.618883342
520	0.6188783581
521	0.6188648973
522	0.6188580318
523	0.6188543977
524	0.6188508292
525	0.6188376455
526	0.6188308917
527	0.6188179976
528	0.6188144877
529	0.6188016855
530	0.6187958878
531	0.6187901661
532	0.6187817569
533	0.6187782954
534	0.6187725268
535	0.6187678484
536	0.6187570747
537	0.6187536712
538	0.6187399769
539	0.6187366062
540	0.6187332956
541	0.6187184506
542	0.6187152037
543	0.6187120092
544	0.6187073231
545	0.6186978033
546	0.6186915463
547	0.6186870472
548	0.6186839016
549	0.6186808043
550	0.6186686541
551	0.6186632227
552	0.6186601744
553	0.6186571702
554	0.618654207
555	0.618649799
556	0.6186468687
557	0.6186439754
558	0.6186395178
559	0.618636654
560	0.6186323633
561	0.6186270841
562	0.6186169274
563	0.6186078279
564	0.6185981386
565	0.6185903861
566	0.6185828593
567	0.6185786773
568	0.6185658294
569	0.6185617901
570	0.6185566856
571	0.6185494046
572	0.6185409129
573	0.6185358452
574	0.6185328655
575	0.618529942
576	0.61852496
577	0.6185210502
578	0.6185181813
579	0.6185153612
580	0.6185115214
581	0.6185066389
582	0.6184995252
583	0.6184916859
584	0.6184868513
585	0.6184820528
586	0.6184697376
587	0.618461582
588	0.6184535988
589	0.6184489023
590	0.6184460605
591	0.618441382
592	0.6184386016
593	0.6184358726
594	0.6184291407
595	0.6184205099
596	0.6184139809
597	0.6184020744
598	0.6183992955
599	0.6183947251
600	0.6183821096
601	0.6183714737
602	0.6183601585
603	0.6183574319
604	0.6183529637
605	0.6183466041
606	0.6183421847
607	0.6183378206
608	0.6183351488
609	0.6183325311
610	0.6183222942
611	0.6183179921
612	0.6183154292
613	0.6183071749
614	0.6183036515
615	0.6182987584
616	0.6182924086
617	0.6182862795
618	0.6182837129
619	0.6182729673
620	0.6182624535
621	0.6182598908
622	0.6182565206
623	0.6182467772
624	0.6182407633
625	0.6182366347
626	0.618232383
627	0.6182264542
